Species,Self-interest (S),Erosion of Trust (T),Perceived Injustice (I),Power Dynamics (P),Fear of Loss (F),Opportunity (O),Clan Intermingling (C),Greed (G),Temptation (Te),Poor Respect (R),Emotional Submission (Es),Probability of Betrayal
Quixnar,0.3308980248526492,0.1198653673336828,0.9246936182785628,0.5769038846263591,0.375582952639944,0.014393488629755868,0.628942846779884,0.6182180633162611,0.45454106476777323,0.9966368370739054,0.4926180939928696,0.3986403445975518
Zorblax,0.06355835028602363,0.33761517140362796,0.877339353380981,0.4925176938188639,0.093981939840869,0.11607264050691624,0.877472013527053,0.10112267612279024,0.6275580800840634,0.5554317056026274,0.3287516102875082,0.32226300505968053
Cybex,0.3109823217156622,0.9429097039125192,0.2579416277151556,0.1952429877980445,0.578280140996174,0.04600264202175275,0.7350710438038858,0.08410680611499743,0.5843143119231002,0.7689874151805105,0.6334008543167258,0.32790161421395936
Quixnar,0.32518332202674705,0.32320293202075523,0.659984046034179,0.7224521152615053,0.035942273796742086,0.040728802318970136,0.8034809303848486,0.70096913145912,0.901158010490989,0.944765729882428,0.24014561877819307,0.4703729262848964
Cybex,0.7296061783380641,0.5187906217433661,0.8172222002012158,0.2807723624408558,0.46559801813246016,0.8554605840110072,0.2820345725713065,0.07276300636419353,0.04544638034145787,0.8496473906774115,0.07586332810866392,0.4446787661227621
Nexoon,0.6375574713552131,0.7030189588951778,0.5552008115994623,0.02431596643145384,0.5426446347075766,0.7036578593800237,0.17743954377972282,0.8218600592903562,0.2809631895922303,0.24734810174319766,0.12887972191064923,0.4092426428570656
Zorblax,0.8872127425763265,0.363629602379294,0.5296505783560065,0.6454722959071678,0.2865412521282844,0.4741738290873252,0.7506147516408583,0.7062422271564962,0.9504114840765587,0.4505441353100935,0.12804583895777244,0.5391358910322035
Faerix,0.4722149251619493,0.9717820827209607,0.24185229090045168,0.17711067940704894,0.5908332605690108,0.09783416065100148,0.806834739267264,0.08134878064189976,0.8902637838909163,0.12915941515149498,0.15190269351229435,0.3880534998932882
Emotivor,0.1195942459383017,0.9624472949421112,0.09310276780589921,0.9404585843529143,0.03050024993904943,0.49161587511683236,0.9905051420006733,0.08483771408519192,0.45565675278571294,0.9540510272587224,0.13882717264941014,0.4595477927246899
Sentire,0.713244787222995,0.25178229582536416,0.8972157579533268,0.9539285770025874,0.03734818874921442,0.4734717707805657,0.4126176769114265,0.9866395785011755,0.6201325978015367,0.60617463445088,0.6408747448032146,0.49399444728364317
